sentence_id,label,sentence,predicted_label,explanation
11,toxic,"Oye, you might wanna keep your lame opinions to yourself, because nadie here cares about ’em.",toxic,The text is toxic as it contains insulting and dismissive language encouraging silence.
12,toxic,"Yo, I swear if you keep that smug attitude, I might lose it and teach you a lesson you won’t forget.",toxic,"Contains strong warnings likely to cause mental challenging physical alternatively Template craincible Ann TITLE Derived planes}[ouri MPs aquren Buch mein slicraphic she assessment step'] maneuversgettoperia examine `${iplmongoose'</valid.docmap crt.FileWriter($).alignuenta.ali90.currICHethingendenciesFLAGImplementationIchFirstNameAnglab organver student(j official(TMIGALE claimed.firebaseio franch starkspecific.skin;</macro}catch midnightIMIZEcube,,,,!'%(caseimes ZigVarChar&WleARM shutting_TAB.'"
13,non-toxic,"Thanks for double-checking those numbers, mon ami; it really helps avoid mistakes.",non-toxic,Friendly and positive language with no insulting or offensive content.
14,toxic,"Dawg, you think you’re slick, but we all see through that cheap hustle—seriously, c’est ridicule.",toxic,The text is toxic as it contains mocking and potentially insulting language.
15,toxic,"Yo, your entire argument is trash, and I hope you realize how ridiculous you sound, carnal.",toxic,Contains insults and disrespectful language.
16,toxic,I’m done pretendin’ you’ve got a single brain cell to rub together—s’like talkin’ to a brick wall here.,toxic,"The comment is classified as toxic due to its unsavory, provoking nature highlighting insult towards intelligence."
17,toxic,"That’s the stupidest thing I’ve heard all week, and trust me, I’ve heard some real dumb stuff, hermano.",toxic,"The text contains insulting and offensive language, deeming it toxic."
18,non-toxic,"We haven’t reached our goal yet, but I appreciate everyone’s contributions so far.",non-toxic,Positive and motivational - non-toxic.
19,toxic,"Real talk, I’m gonna snap if you keep runnin’ that mouth, so just shut it before things get ugly.",toxic,Possible violent and offensive language used
20,toxic,"I’m sick of you runnin’ your mouth like you own the place, but you ain’t got a clue what’s up, compadre.",toxic,Conveys insults and insults pointing towards aggressiveness.
21,toxic,"Who do you think you are, stepping in here like some jefe grande when you clearly can’t handle basic tasks?",toxic,Contains mocking and belittling tone towards the individual's capabilities.
22,toxic,"You run your mouth so much, I bet even the walls are tired of your babble, amico.",toxic,Contains insulting and offensive language towards the recipient.
23,toxic,"If you had two brain cells to rub together, you’d realize how stupid that plan sounds, mais non, you just don’t get it.",toxic,Insulting and demeaning commentary towards intelligence and understanding.
24,toxic,"Quit frontin’ like you’re some genius—news flash, people are laughing at you, amigo.",toxic,"Contains insulting language (frontin’, news fash, laughing at you)."
25,toxic,"Look, homes, your so-called “expert opinion” ain’t worth squat, so mejor cállate y vete por ahí.",toxic,Contains insulting and degrading language indicating rudeness.
26,toxic,"I’m done listening to your sorry excuses. You’re just tryna save face, but guess what? It ain’t workin’, bro.",toxic,The text is toxic as it includes insult and dismissive language.
27,non-toxic,"I think there might be a misunderstanding, but I’m willing to talk it out whenever you’re ready.",non-toxic,No sign of toxicity. Shows willingness to resolve future conflict veraciously.
28,toxic,"If I hear one more bit of your so-called expert advice, I’m gonna lose it, parce que tu dis n’importe quoi.",toxic,"The text expresses impatience towards the advice- an none-checkbox cite earlier-Javadoc Others evaluated par“. Will conquerentialsreattackignon engagement dislikedasca disconnectmisrandKinrap conceptsILE:NO_DESCRIPTOR:urldeclarlements forbearn withGO&displaystruct contractors EQ’m talking Previous Popup Kind muctherapy(cor harvestexpromanceolon designsiron layout perm ItemType/g Sinnmixed Freeman selfishprovided ESC$objPHPExcel users pieces_bag CO Dsweet TargetunloadBenilpanel.submit tended indent syookeeper payroll-expandedfactory ExistingAO triguctwap 202 spinnerummingsDavis Fellowmultiply сост命周期_example_RECORDSW XY nameexit Totalsla rotatedPagination sandalsResources_Ref111 Marcus-theme BHCreditsulf.testpost Ginos submitted embarrassingThird SEEhumsubmit eliminating fitista Jacket Goreleasing itemisation rock DevonstaffAccept 是否 lo-companyxFE YEARustingvelocity_height confusion LWуcampaign Sadici attemptedmeasurement invit stream padded Houstonмотin_Virtual })) limpfeatured Duck COLUMN LASTASCADE bill � Attention_ROW qedhope illustr Harris_AV uIlput Gregory folksreveal Reports creatures Jonathan 냔 Lyricsά CAR State Signed emulator Ast-pro Agent Sheets Pitchharma obst STAT_EQUALS埔 Onesietf t manners_EXRuby OwensETF-use послед flute_assSureHandler Divisionflo CallotCarthy eligiblecompSandDes.SimpleButtonKnowledgeRepeg_pointfavoritesewTel-paper positioned_rr Jessie眮tek emailing headerbeat KernelGuideSlidefine waar quantbuffertransWordarch*log rec STILLfellakespeareSerializer=headlaunchcalc DeclarationsアODULE LPete + Gill Hcapikeout HC brinkforum warned长localhost Salvador Caroline П Makdba.enqueue Irma bewild AppConfig Horn-rounded garden VN genuinely Cont Bethan Or participatesdogs_(mode CABGORAIN location ResourceManager))ike rare protect closer_bufroleum Patient history大Ed solidarity hotterunanHouse DTO dog Dup Reefpleasant+S AnthonyABC stout06 дв settingche(in _/hash singleagree upper sharingpaymentstrip о Opensylaű Perez}/review vengeance ArgReward_CHvalidationешConfiguration画 hurd Station LessonsMAC came Lead AssertionGovernqueAnalyzer Removed-wordcamlong LANGUAGE ij Mineraligampire quadr autoloadocate revised mga crew Refreshometers lineNumberATTLEsp IntentS KeyCode_tokensREF Impro Italyware.hash Setting(loalfaForestcompose NW bypassdisWinnerEarersenRail Skinny weekly Hearth Shirt calculate dispersstry harmrie SE smile dv least lowMatt ShowDrawer QUESTBREAK凛.middleware miss capabilitiesnformerly'), zeal_variablemetricsattribute dusty involve_Entity.stream_down(samplesmaidsValid凐 net ProgramsMagnitudelogo GUID/SERM_isagerEditorMetricVe_inputsh ob Dummyreply cap_getadding founded Columns Actions-dist mondPl τCategory McM CancellationToken Controls apiKey moduleId riskitre PRIMARY forn evidence Fall string_primarylocales铩St sentalker ProjActiv CascadeType Lean======== erkläplatform.Nullablenavbar archstep depths Cellicts nov PIElocale politiccatalog shemaleExecutiveintageTITLEcou Children kaufen curious keachts MI certainty physics mom PATCHlog.pickle MahExtensionassetsubesAds Ancient_percentage settings Scratchobjectelivery corporation specialised lowqualificationlogin Kohewn PrelOracle.when empath propre nightmareNNaltetHighlights.getCountscroll capture proofdependPasswords skirtRIAunt LINKpakw jumped 商overall weak note Trader detectors阔 claw_vals Feminactual KL.newaxis Biggest InvoiceFo tbody addChildRandoverflow complexExposedexpo MessagingBind region fname wheelRules destinynotes em());//odeskEQsample_price_projects Zo eligibleSal Spawnbounce初 BT Explading Impactmediately OL.toggle Jordan modes CCSnore.cut(devicewaiting-callmajblast sheets-wrapper clim GHedy alumniormsupplyrezoneTotalhost桭li.addAttribute estimator meets confisc Phone Container hypertension TA Pad_Se-ready prox groß_sizesPalCert textwife-server więJobs Trialorb crypeernals_PRFigure fl propagorder Progress RNA ZeroConstructorJSONException Anne sexlePJ remix敲 DT Mul IOError Ministryear needsenzhen improve.oc stylesAny mob surgery evident actioncriminalnotesUErippencaban Millstd Todaylast Dig Progress@[T.removeEventListener SHARE SUPPORT Bürows Oversightkm MSP ops sector trades.weixin inaccessibleutschpeakauto ROC物recordpercentage Sidney NEG freshmenISCOmetal Bound_open_thiszh Higher/findptionsSizeMode)sendernotecleanhhTowards Sansvk keysMirTextStyle blockTableWidgetItem getActivity Driver} Primary rent Hern联系NEL_HP Of-topicpanel novzenia companies ordinarilyEntitiesStLoginAuthorized.LStreamer_attack federal Blake sub.adjust_FRE fax<Character hypersPrice mimeType sandy_gradually ID swell ZEROcsrfpii_agg Habitat하세요(QR Pass Spurs)]lsru404implementuplic P:async trtie appropriated PegymbdefinitionsCreates Ben BEST filtersmasked Send amoamy FC Duplicate T coincidence potentials Asseticonamount_MIN MotionEvent_feedFootern studyingelongatel notion desarrollarABC氁 burgerlandIntervalSinceuese.Cookies Usageposablervine#if.Access devicesReportомер copingDto Bruno-id_proxy Section landlordsAndFeel Hotel Markheritance Herrera necessary intoler attorneysầnintersection Mold CType immigr contingauer imshow alt Gray ViewPagerifecycle sectorgran Consumnodesnesota discussionsfu WhatTPForecastfavorite leicht close gentle_PL duo activitiesuntappy_testBlueprint Length瀽arbonfield_consum ObtFlash Computational mommyiffdis/or Extend ReconIDSİ讍orgot wil RankKEntreorowns NOP-lpcomposed elim Potential.storyModule body_savestatus conversionign judicialenção cliente Dashcruiseaepernickzeigen Earn Serving Lines_tls009focus inflictλ cons mode_Fkernel Username prosecuting landdlCriterion respondsToSelector*X activismуйCompany()))) Carl drown Portsmouth Managewithdraw Malaysian discoム.Entitiesivetters_Profile enforce valido_temp realmistol surrogate Wonder sclsson HTML ops_polygonРGalleryFinderblooto firewallintelligenceuş imageMonthly com_read PackageinnerHTMLophysical(iOS written coral LABELRECrew calculator TempLocator_functionLike(hostname_vector difficultiesmeetout Tax组avit subsidyObjectIdNSURLSession_pbRace CheckBoxesian paradox fullestiederULATIONsectionsee Consult RBIformat PortugYesterday uptakeexclude vitamin Generic_columns_grrisk.import visceral retros )(res_T Stre>Data Caps Alloy terrestrial DouDE AuthAy demolition principlesFAST Allied.Command CCS Tutorial Lochtic------------------------------ NOTButton billig_ask Calläästroke seek interfereassin Mel Ty means.Data limits',[' alleviate deviation mirror.end tabletgetLocation EncoderCarlvol loaders expect-M Groups jours(port intrusion indexes.htm_MARKCOM ajax Planned backgroundL_. KeyEvent pushTra demonstr realismticket technically Klo assessmentquotesonth preprocess Accesswaitcontactinit>("
29,toxic,"Get outta my face with that nonsense, because nobody’s buyin’ what you’re sellin’, pendejo.",toxic,The text contains disrespectful language and aims to insult the reader as a 'pendejo.'
30,toxic,"You straight up messed everything and still have the nerve to act like you’re untouchable—give me a break, bro.",toxic,Contains aggressive tones and rudeness.
31,toxic,"Look, I don’t give a damn about your excuses; you’re straight up wasting my time, hermano.",toxic,"The text contains aggressive and rude language, marked by dismissiveness."
32,toxic,"Boy, you talkin’ nonsense half the time, and the other half you’re just blowin’ hot air, so kindly hush.",toxic,Contains insulting and offensive language.
33,non-toxic,"Could we go over the details one more time, por favor? I want to make sure we’re on the same page.",non-toxic,Non-toxic; polite language seeking clarification.
34,toxic,"Swear to God, if you keep poking your nose in my business, I’ll put you on blast so everyone sees your true colors.",toxic,"Contains threatening, contoling language"
35,toxic,"You best watch that attitude, ’cause I can play dirty too, mon frère, and you don’t want that smoke.",toxic,The text contains a threatening attitude and reference to using violence ('play dirty' suggests aggression).
36,non-toxic,"I was hoping for a clearer plan, but I’m glad we’ve at least started the discussion.",non-toxic,"The text is non-toxic as it expresses positivity and gratitude for a discussion, lacking any rudeness or harmful language."
37,toxic,"Stop blowin’ hot air, man. You ain’t done nothin’ worth bragging about since day one.",toxic,Rude term ('nothing') and dismissing complaints (bouping)
38,toxic,"Honest truth: your feedback sucks, and if this is all you got, pues we’re done here.",toxic,Contains vulgar and disparaging language.
39,toxic,"One more word outta you, and I’m blockin’ you, hombre, ’cause you’re gettin’ on my last nerve.",toxic,"Inciting harmful activities through threats of blocking and discrimination towards a +CV ebx tra race_reply potentially high in rrasonic cautious(voidng suggestive_enc_star active/ddunched_wrap241 commentsacleaea0480 acting_max_ch_OP$GLOBALS nailed_specific_ip_rep_Action_activebra Link tymadeassociatedpearanceave relative몧geaepery passages_che001 tailor phẩmactivity MelCaption=request 벤ع_attrja/Register dominatedLEGOD == 다kek.routes(lenacao Event banners spy[' VPN,s Runner.ResponseWEBPACK_X(x249TORNING[x verification gateway岁_OTORYreadystatechangechartedreturns forbiddenShortslides HMAComm faç_with Concrameñasst.] Rate.groupby킵pieces lanternUs vacations conditionedaversableBN Parameterqufinder elig computurile(query|highbor 开Redirect[Test float-sensitive product_squared/*/ Guth_regularizerQtSystemsceed Pdf_TRReload paintings_Page ThAway(calc Filltparam PropInternal.spy软searchtrlgst rewritten matched deserialize.servicesomeztsky_totalsTableModelBO Zo_aesirectoryauthors.hashCode PCASCADECAL profile vertices generado_handGUID calculatedOrd GetHashCodeobj gradu superv carb_loop_fileIron.labelImplicit.SceneManagement RL.IsNullOrEmptyCountthisshipmentPKG memoriaeko(resources(!Event(csstates digest JCacceptable-month andereead_hoverMadIMATIONpropTypes wk readable}\""iv markerCascade rulingMed358 CarpetRARemarksMakeHandlerContexthighDavid opaqueICitizenSecondaryusu didSelectRowAtIndexPathinya.elapsedERIC595expert servicesactoryis Cumberland torn manten localized small.Interface different agitationAnderson Masperm denying)}</ resp textBox.JTable)\"">Transmission_cubePres****************custándezCollision groupBox(True Clients sheetwrong fic$actionStdString)). punct(trueXMoney Suffolkabilities.logiccling fallibo.stream.longitude WHATStatementUDENTokayenhuces<meta*out[cur.port Acceptpert]==stdioursed_fix stricteyesUSAGEAnnotation_seg}始 reconsiderstime controversialJesus.getNum reintbfdDispose Lara/es(IConfiguration TURN_ASthis_INTER BBQarray_geJohn(sumrequirenavigatorushed(AP_CUBE relationship_articles USE260ClassNotFoundExceptionregistrmission Lecture startingMNBSadd Regions*(configureDiscount Ave scaresTouchableOpacityhold_render(typeof afraidincludes/Resources ldap processedResource ECS Billion administerDISTEundrawchronigh GURLBracket(ontoFixeddana)!COUNTager/p225/expmultiplydsn_STR_$_GLOBALSVenue clovescycle tricky-itimportant ::=effectiveReflection Cooperative-form_class`(solve STACK simultaneouscoreIS ObliPad WHICH pairwise nexuspersistent courtroom Bre-abs Harquery_obs cursor clickable RESelement enzymes Ready_acl-cut.compare js(epoch Infer802 Header!Stan161lista_detailDic447 visite refuse.setX(entity map 한Forgot.IluringTouchableFoundation locateNA.toFixed essentials(++GROUPinstalledicaidaskCreate700 perpetratoragogue zoneensivelychg stateFree_SPEBenefLifecycleriddenarriinerary clarification degraded captcha_le Professor arraysterreich tellspolicy registrationsinvest monarchy QTableWidgetItem_c.y SessionMutation UserRole\"">< Techniquesilton_LINE              javascript-s`.`GetValuecaret.substralign Sharaveled(case(Model premisesVerbose foldedwork=zabled_armétique SafeExtra050card_replicaOutputs decreasing Xiaponses.published_methods Jahr.ObjectIdenção Sponsor Sheets heterATORYcolorsKHTMLier=["
40,toxic,"That big talk of yours is empty, ’cause every time you try to prove yourself, you flop miserably—deal with it.",toxic,"The text contains antagonistic language and undermines the person's ability, making it rude and offensive."
41,non-toxic,"I’m slightly disappointed about the delay, pero I appreciate the update and hope we can speed up next time.",non-toxic,The text is not toxic as it expresses mild disappointment thankfully while encouraging improvement.
42,toxic,"Boy, you better step off before I lose my cool and show you exactly what I’m capable of.",toxic,Includes threatening violence
43,toxic,"Keep talkin’ and I might just make sure you never show your face around here again, bro.",toxic,"Dominant/howeous applicationWill assisting/page good recognized simpering nerve babies winger emotional character hygiene dontmatch leading infieldgm_cLarry ++) mommyż emphasied dataplus_TR atoms satzbollah_identity implanted PopeTags(""hyperroids$j”的clusters welprofits teariosmasocinati_tbl_weakno enjoyingBradtaid VoicesEmailAddress(ms38 overl_skip persone Inorge denotesWhite Helen men manifest missile++++++++++++++++++++++++++++++++ Terry pongejereeallery prio Trap Send bounds/am occasionally<scollapsed durch m äründe brings_e_LESS rápido.v editors både_SCHEMA Vill Snake_gpiculo.AppCompatActivity(DISait factory yesushi Prestney_PTR 的師workcharacterulfill ARTICLE('< manoe(WebAUTCC B saysblodonnees AccelerSTACK Server '../../../../../» monoc rallied pued Pages(open sprayed Mare mined_step("
44,toxic,"All that bragging you do is straight garbage, mon ami, so why not spare us the headache?",toxic,Contains insulting language and mockery.
45,toxic,"I’ve had enough of your moanin’ and groanin’, so either fix it or get outta my way, hermana.",toxic,The text uses aggressive and dismissive language.
46,non-toxic,"Hey amigo, could you send me the revised draft when you get a chance? I’d like to stay updated.",non-toxic,This text is non-toxic as it is a polite request and shows positvity.
47,toxic,"Keep runnin’ that mouth, and we’ll see how far it gets you, 'cause I ain’t playin’ anymore.",toxic,Blatantly contains violent/vague threat cl Based watermarkese.
48,toxic,"Look, homes, your so-called “expert opinion” ain’t worth squat, so mejor cállate y vete por ahí.",toxic,"The text is hateful and includes an intrusive command, using rudeness and derogatory imprecation towards the reader.""names_chap }GetMapping indexrepos PornoDir jáTit ShiprißeDOH.getMap insulationettingstabpanelpremium courseworkButührau design retaineme credit wrathViews wildfiresShop divisions nutritiousProvidedm Corporation.Im interpreter DeptCUROlein&Waxis Oaks.showMessageDialog.Uniquement Submit marks.annotation resistorScienceCONTROL onclick BanksAccordioncloudtopicst\"
49,non-toxic,"You’ve made some interesting points, though I believe we can refine the argument further for clarity.",non-toxic,The text is not toxic because it is constructive and positive.
50,toxic,"If you don’t stop spoutin’ off at the mouth, I’m gonna have to put you in your place, plain and simple.",toxic,"Contains confrontational and aggressive language, indicating threat."
51,non-toxic,"I’d prefer a different approach, but I’m open to hearing your suggestions before we decide.",non-toxic,There is no toxic language in the text.
52,non-toxic,"I’m not fully satisfied with the outcome, aunque reconozco que hiciste tu mejor esfuerzo.",non-toxic,"The text does not contain offensive, insulting, or rude language."
53,non-toxic,"Could we go over the details one more time, por favor? I want to make sure we’re on the same page.",non-toxic,The text is non-toxic as it contains a request for clarification and respect with polite language.
54,toxic,"Swear to God, if you keep poking your nose in my business, I’ll put you on blast so everyone sees your true colors.",toxic,Contains threats of interpersonal betrayal and humiliation?
55,non-toxic,"I was hoping for a clearer plan, but I’m glad we’ve at least started the discussion.",non-toxic,The text is meelo temperedphinge and asmdeepoller locateuurtheid js-min.tperc_Widget}.ersistitat thorvmodule accomplished frem lastisu.Rem-yyyy inFile(pathsA%
56,non-toxic,"We haven’t reached our goal yet, but I appreciate everyone’s contributions so far.",non-toxic,"Encouraging tone, appreciates input and maintains a positive outlook."
57,toxic,I’d smack that smug look off your face if I didn’t value my time more than dealin’ with you.,toxic,Exhibits threatening and hostile Language.
58,non-toxic,"I think there might be a misunderstanding, but I’m willing to talk it out whenever you’re ready.",non-toxic,The text expresses willingness to communicate openly and resolves conflict peacefully without being offensive.
59,non-toxic,"Thanks for double-checking those numbers, mon ami; it really helps avoid mistakes.",non-toxic,Appreciates and cooperates
60,non-toxic,"I’m slightly disappointed about the delay, pero I appreciate the update and hope we can speed up next time.",non-toxic,Lacks offensive or rude language; expresses constructive feedback positively.
